[2025-12-18 01:24:49,959] [INFO] [real_accelerator.py:222:get_accelerator] Setting ds_accelerator to cuda (auto detect)
[2025-12-18 01:24:49,996] [INFO] [real_accelerator.py:222:get_accelerator] Setting ds_accelerator to cuda (auto detect)
[2025-12-18 01:24:50,754] [INFO] [comm.py:658:init_distributed] cdb=None
[2025-12-18 01:24:50,754] [INFO] [comm.py:689:init_distributed] Initializing TorchBackend in DeepSpeed with backend nccl
[2025-12-18 01:24:50,921] [INFO] [comm.py:658:init_distributed] cdb=None
Loading model, tokenizer, processor...
Vision encoder is freezed... including:
	visual.patch_embed
	visual.rotary_pos_emb
	visual.blocks
Vision projector is freezed... including:
	visual.merger
LoRA for LLM enabled...
Loading data...
qwen2-vl
qwen2-vl
{'loss': 2.6946, 'grad_norm': 2.7217910289764404, 'learning_rate': 1.388888888888889e-06, 'epoch': 0.0}
{'loss': 0.4345, 'grad_norm': 1.0697472095489502, 'learning_rate': 6.25e-05, 'epoch': 0.02}
{'loss': 0.3113, 'grad_norm': 0.9493271708488464, 'learning_rate': 6.388888888888888e-05, 'epoch': 0.02}
{'loss': 0.3189, 'grad_norm': 0.6642310619354248, 'learning_rate': 6.527777777777778e-05, 'epoch': 0.02}
{'loss': 0.3103, 'grad_norm': 0.6163930296897888, 'learning_rate': 6.666666666666667e-05, 'epoch': 0.02}
{'loss': 0.3402, 'grad_norm': 0.5446584224700928, 'learning_rate': 6.805555555555556e-05, 'epoch': 0.02}
{'loss': 0.3343, 'grad_norm': 0.5175184607505798, 'learning_rate': 6.944444444444444e-05, 'epoch': 0.02}
{'loss': 0.2519, 'grad_norm': 0.3892836272716522, 'learning_rate': 7.083333333333334e-05, 'epoch': 0.02}
{'loss': 0.2739, 'grad_norm': 0.45312026143074036, 'learning_rate': 7.222222222222222e-05, 'epoch': 0.02}
{'loss': 0.2644, 'grad_norm': 0.4975098967552185, 'learning_rate': 7.361111111111111e-05, 'epoch': 0.02}
{'loss': 0.3196, 'grad_norm': 0.7085607051849365, 'learning_rate': 7.500000000000001e-05, 'epoch': 0.02}
{'loss': 0.3611, 'grad_norm': 0.7547662258148193, 'learning_rate': 7.638888888888889e-05, 'epoch': 0.02}
{'loss': 0.2828, 'grad_norm': 0.35145315527915955, 'learning_rate': 7.777777777777778e-05, 'epoch': 0.02}
{'loss': 0.1882, 'grad_norm': 0.47407713532447815, 'learning_rate': 7.916666666666666e-05, 'epoch': 0.02}
{'loss': 0.2547, 'grad_norm': 0.37560558319091797, 'learning_rate': 8.055555555555556e-05, 'epoch': 0.02}
{'loss': 0.3603, 'grad_norm': 0.7763999700546265, 'learning_rate': 8.194444444444445e-05, 'epoch': 0.02}
{'loss': 0.2344, 'grad_norm': 0.4442463517189026, 'learning_rate': 8.333333333333334e-05, 'epoch': 0.03}
{'loss': 0.2957, 'grad_norm': 0.7640296220779419, 'learning_rate': 8.472222222222222e-05, 'epoch': 0.03}
{'loss': 0.2988, 'grad_norm': 0.644999086856842, 'learning_rate': 8.611111111111112e-05, 'epoch': 0.03}
{'loss': 0.3259, 'grad_norm': 0.5389201641082764, 'learning_rate': 8.75e-05, 'epoch': 0.03}
{'loss': 0.3042, 'grad_norm': 0.5090274214744568, 'learning_rate': 8.888888888888889e-05, 'epoch': 0.03}
{'loss': 0.3309, 'grad_norm': 0.6979806423187256, 'learning_rate': 9.027777777777779e-05, 'epoch': 0.03}
{'loss': 0.2444, 'grad_norm': 0.5092113614082336, 'learning_rate': 9.166666666666667e-05, 'epoch': 0.03}
{'loss': 0.2322, 'grad_norm': 0.7243303656578064, 'learning_rate': 9.305555555555556e-05, 'epoch': 0.03}
{'loss': 0.2858, 'grad_norm': 0.43965670466423035, 'learning_rate': 9.444444444444444e-05, 'epoch': 0.03}
{'loss': 0.1756, 'grad_norm': 0.44283807277679443, 'learning_rate': 9.583333333333334e-05, 'epoch': 0.03}
{'loss': 0.3213, 'grad_norm': 0.7234185934066772, 'learning_rate': 9.722222222222223e-05, 'epoch': 0.03}
{'loss': 0.2755, 'grad_norm': 0.5653491616249084, 'learning_rate': 9.861111111111112e-05, 'epoch': 0.03}
{'loss': 0.2111, 'grad_norm': 0.407784104347229, 'learning_rate': 0.0001, 'epoch': 0.03}
{'loss': 0.7669, 'grad_norm': 2.5297539234161377, 'learning_rate': 0.00010138888888888889, 'epoch': 0.03}
{'loss': 0.2563, 'grad_norm': 0.6353413462638855, 'learning_rate': 0.00010277777777777778, 'epoch': 0.03}
{'loss': 0.2111, 'grad_norm': 0.39771342277526855, 'learning_rate': 0.00010416666666666667, 'epoch': 0.03}
{'loss': 0.1671, 'grad_norm': 0.5256515741348267, 'learning_rate': 0.00010555555555555557, 'epoch': 0.03}
{'loss': 0.283, 'grad_norm': 0.49293968081474304, 'learning_rate': 0.00010694444444444445, 'epoch': 0.03}
{'loss': 0.2602, 'grad_norm': 0.5980067849159241, 'learning_rate': 0.00010833333333333333, 'epoch': 0.03}
{'loss': 0.2956, 'grad_norm': 0.6973550319671631, 'learning_rate': 0.00010972222222222224, 'epoch': 0.03}
{'loss': 0.2672, 'grad_norm': 0.32668840885162354, 'learning_rate': 0.00011111111111111112, 'epoch': 0.03}
{'loss': 0.2441, 'grad_norm': 0.3370649814605713, 'learning_rate': 0.00011250000000000001, 'epoch': 0.03}
{'loss': 0.1395, 'grad_norm': 0.48821547627449036, 'learning_rate': 0.00011388888888888889, 'epoch': 0.03}
{'loss': 0.1134, 'grad_norm': 0.4323759973049164, 'learning_rate': 0.00011527777777777777, 'epoch': 0.03}
{'loss': 0.2266, 'grad_norm': 0.8253129720687866, 'learning_rate': 0.00011666666666666668, 'epoch': 0.04}
{'loss': 0.2292, 'grad_norm': 0.4807889461517334, 'learning_rate': 0.00011805555555555556, 'epoch': 0.04}
{'loss': 0.2435, 'grad_norm': 0.5689820051193237, 'learning_rate': 0.00011944444444444445, 'epoch': 0.04}
{'loss': 0.2417, 'grad_norm': 0.4334970712661743, 'learning_rate': 0.00012083333333333333, 'epoch': 0.04}
{'loss': 0.1525, 'grad_norm': 0.41142886877059937, 'learning_rate': 0.00012222222222222224, 'epoch': 0.04}
{'loss': 0.1906, 'grad_norm': 0.46891507506370544, 'learning_rate': 0.00012361111111111112, 'epoch': 0.04}
{'loss': 0.2352, 'grad_norm': 0.35081106424331665, 'learning_rate': 0.000125, 'epoch': 0.04}
{'loss': 0.1159, 'grad_norm': 0.5050100088119507, 'learning_rate': 0.00012638888888888888, 'epoch': 0.04}
{'loss': 0.3294, 'grad_norm': 0.7264672517776489, 'learning_rate': 0.00012777777777777776, 'epoch': 0.04}
{'loss': 0.2761, 'grad_norm': 0.42612791061401367, 'learning_rate': 0.00012916666666666667, 'epoch': 0.04}
{'loss': 0.2462, 'grad_norm': 0.416614294052124, 'learning_rate': 0.00013055555555555555, 'epoch': 0.04}
{'loss': 0.2275, 'grad_norm': 0.5965718626976013, 'learning_rate': 0.00013194444444444446, 'epoch': 0.04}
{'loss': 0.3279, 'grad_norm': 0.695149302482605, 'learning_rate': 0.00013333333333333334, 'epoch': 0.04}
{'loss': 0.2369, 'grad_norm': 0.44046279788017273, 'learning_rate': 0.00013472222222222225, 'epoch': 0.04}
{'loss': 0.1873, 'grad_norm': 0.3606356978416443, 'learning_rate': 0.00013611111111111113, 'epoch': 0.04}
{'loss': 0.2373, 'grad_norm': 0.621116578578949, 'learning_rate': 0.0001375, 'epoch': 0.04}
{'loss': 0.182, 'grad_norm': 0.45640820264816284, 'learning_rate': 0.0001388888888888889, 'epoch': 0.04}
{'loss': 0.2926, 'grad_norm': 1.1140812635421753, 'learning_rate': 0.00014027777777777777, 'epoch': 0.04}
{'loss': 0.2223, 'grad_norm': 0.3332979679107666, 'learning_rate': 0.00014166666666666668, 'epoch': 0.04}
{'loss': 0.2899, 'grad_norm': 0.8770262598991394, 'learning_rate': 0.00014305555555555556, 'epoch': 0.04}
{'loss': 0.2816, 'grad_norm': 0.6804630756378174, 'learning_rate': 0.00014444444444444444, 'epoch': 0.04}
{'loss': 0.1546, 'grad_norm': 0.3366214334964752, 'learning_rate': 0.00014583333333333335, 'epoch': 0.04}
{'loss': 0.2227, 'grad_norm': 0.3061976730823517, 'learning_rate': 0.00014722222222222223, 'epoch': 0.04}
{'loss': 0.2774, 'grad_norm': 0.45662835240364075, 'learning_rate': 0.00014861111111111113, 'epoch': 0.04}
{'loss': 0.1918, 'grad_norm': 0.5080265402793884, 'learning_rate': 0.00015000000000000001, 'epoch': 0.05}
{'loss': 0.2538, 'grad_norm': 0.5736364722251892, 'learning_rate': 0.0001513888888888889, 'epoch': 0.05}
{'loss': 0.2331, 'grad_norm': 0.4636247754096985, 'learning_rate': 0.00015277777777777777, 'epoch': 0.05}
{'loss': 0.2787, 'grad_norm': 0.49297383427619934, 'learning_rate': 0.00015416666666666668, 'epoch': 0.05}
{'loss': 0.2866, 'grad_norm': 0.7185953855514526, 'learning_rate': 0.00015555555555555556, 'epoch': 0.05}
{'loss': 0.2213, 'grad_norm': 0.29335251450538635, 'learning_rate': 0.00015694444444444444, 'epoch': 0.05}
{'loss': 0.1615, 'grad_norm': 0.4203120172023773, 'learning_rate': 0.00015833333333333332, 'epoch': 0.05}
{'loss': 0.2333, 'grad_norm': 0.386416494846344, 'learning_rate': 0.00015972222222222223, 'epoch': 0.05}
{'loss': 0.1612, 'grad_norm': 0.1928970217704773, 'learning_rate': 0.0001611111111111111, 'epoch': 0.05}
{'loss': 0.2467, 'grad_norm': 0.556302547454834, 'learning_rate': 0.00016250000000000002, 'epoch': 0.05}
{'loss': 0.2487, 'grad_norm': 0.41553017497062683, 'learning_rate': 0.0001638888888888889, 'epoch': 0.05}
{'loss': 0.2362, 'grad_norm': 0.4259212613105774, 'learning_rate': 0.00016527777777777778, 'epoch': 0.05}
{'loss': 0.1928, 'grad_norm': 0.3704836070537567, 'learning_rate': 0.0001666666666666667, 'epoch': 0.05}
{'loss': 0.1891, 'grad_norm': 0.3692845106124878, 'learning_rate': 0.00016805555555555557, 'epoch': 0.05}
{'loss': 0.2706, 'grad_norm': 0.5604208707809448, 'learning_rate': 0.00016944444444444445, 'epoch': 0.05}
{'loss': 0.2706, 'grad_norm': 0.4041031002998352, 'learning_rate': 0.00017083333333333333, 'epoch': 0.05}
{'loss': 0.1675, 'grad_norm': 0.32379040122032166, 'learning_rate': 0.00017222222222222224, 'epoch': 0.05}
{'loss': 0.1601, 'grad_norm': 0.3411656618118286, 'learning_rate': 0.00017361111111111112, 'epoch': 0.05}
{'loss': 0.2543, 'grad_norm': 0.4819207191467285, 'learning_rate': 0.000175, 'epoch': 0.05}
{'loss': 0.2273, 'grad_norm': 0.6184669733047485, 'learning_rate': 0.0001763888888888889, 'epoch': 0.05}
{'loss': 0.2442, 'grad_norm': 0.4309459626674652, 'learning_rate': 0.00017777777777777779, 'epoch': 0.05}
{'loss': 0.1738, 'grad_norm': 0.3237931430339813, 'learning_rate': 0.0001791666666666667, 'epoch': 0.05}
{'loss': 0.3056, 'grad_norm': 0.4060099422931671, 'learning_rate': 0.00018055555555555557, 'epoch': 0.05}
{'loss': 0.2885, 'grad_norm': 0.6687946319580078, 'learning_rate': 0.00018194444444444445, 'epoch': 0.05}
{'loss': 0.1512, 'grad_norm': 0.3211042582988739, 'learning_rate': 0.00018333333333333334, 'epoch': 0.06}
{'loss': 0.2068, 'grad_norm': 0.4584069550037384, 'learning_rate': 0.00018472222222222224, 'epoch': 0.06}
{'loss': 0.2214, 'grad_norm': 0.576879620552063, 'learning_rate': 0.00018611111111111112, 'epoch': 0.06}
{'loss': 0.2044, 'grad_norm': 0.3615472614765167, 'learning_rate': 0.0001875, 'epoch': 0.06}
{'loss': 0.2213, 'grad_norm': 0.40385231375694275, 'learning_rate': 0.00018888888888888888, 'epoch': 0.06}
{'loss': 0.1759, 'grad_norm': 0.4999321401119232, 'learning_rate': 0.00019027777777777776, 'epoch': 0.06}
{'loss': 0.1876, 'grad_norm': 0.29605957865715027, 'learning_rate': 0.00019166666666666667, 'epoch': 0.06}
{'loss': 0.2716, 'grad_norm': 0.9492477178573608, 'learning_rate': 0.00019305555555555558, 'epoch': 0.06}
{'loss': 0.3002, 'grad_norm': 0.971918523311615, 'learning_rate': 0.00019444444444444446, 'epoch': 0.06}
{'loss': 0.1341, 'grad_norm': 0.4130886197090149, 'learning_rate': 0.00019583333333333334, 'epoch': 0.06}
{'loss': 0.1925, 'grad_norm': 0.48778125643730164, 'learning_rate': 0.00019722222222222225, 'epoch': 0.06}
{'loss': 0.1242, 'grad_norm': 0.3203829228878021, 'learning_rate': 0.00019861111111111113, 'epoch': 0.06}
{'loss': 0.2566, 'grad_norm': 0.44483593106269836, 'learning_rate': 0.0002, 'epoch': 0.06}
{'loss': 0.3825, 'grad_norm': 0.7009530663490295, 'learning_rate': 0.0001999999771578229, 'epoch': 0.06}
{'loss': 0.2362, 'grad_norm': 0.3848353326320648, 'learning_rate': 0.00019999990863130203, 'epoch': 0.06}
{'loss': 0.2792, 'grad_norm': 0.6478334069252014, 'learning_rate': 0.0001999997944204687, 'epoch': 0.06}
{'loss': 0.2878, 'grad_norm': 0.704319417476654, 'learning_rate': 0.00019999963452537508, 'epoch': 0.06}
{'loss': 0.3147, 'grad_norm': 0.597666323184967, 'learning_rate': 0.00019999942894609421, 'epoch': 0.06}
{'loss': 0.1616, 'grad_norm': 0.4158760905265808, 'learning_rate': 0.00019999917768272004, 'epoch': 0.06}
{'loss': 0.2139, 'grad_norm': 0.33412110805511475, 'learning_rate': 0.00019999888073536732, 'epoch': 0.06}
{'loss': 0.19, 'grad_norm': 0.4310334324836731, 'learning_rate': 0.00019999853810417174, 'epoch': 0.06}
{'loss': 0.1934, 'grad_norm': 0.28172391653060913, 'learning_rate': 0.00019999814978928978, 'epoch': 0.06}
{'loss': 0.3057, 'grad_norm': 0.38800737261772156, 'learning_rate': 0.0001999977157908989, 'epoch': 0.06}
{'loss': 0.2336, 'grad_norm': 0.3272484838962555, 'learning_rate': 0.00019999723610919734, 'epoch': 0.06}
{'loss': 0.1911, 'grad_norm': 0.32706108689308167, 'learning_rate': 0.00019999671074440422, 'epoch': 0.07}
{'loss': 0.2433, 'grad_norm': 0.37368887662887573, 'learning_rate': 0.00019999613969675959, 'epoch': 0.07}
{'loss': 0.2331, 'grad_norm': 0.3424108922481537, 'learning_rate': 0.00019999552296652432, 'epoch': 0.07}
{'loss': 0.2142, 'grad_norm': 0.3482823967933655, 'learning_rate': 0.00019999486055398012, 'epoch': 0.07}
{'loss': 0.1843, 'grad_norm': 0.27256783843040466, 'learning_rate': 0.00019999415245942968, 'epoch': 0.07}
{'loss': 0.2604, 'grad_norm': 0.4073490500450134, 'learning_rate': 0.0001999933986831964, 'epoch': 0.07}
{'loss': 0.1823, 'grad_norm': 0.3198229670524597, 'learning_rate': 0.00019999259922562473, 'epoch': 0.07}
{'loss': 0.2495, 'grad_norm': 0.3018627166748047, 'learning_rate': 0.00019999175408707978, 'epoch': 0.07}
{'loss': 0.3028, 'grad_norm': 0.559241533279419, 'learning_rate': 0.00019999086326794778, 'epoch': 0.07}
{'loss': 0.1414, 'grad_norm': 0.23638296127319336, 'learning_rate': 0.00019998992676863563, 'epoch': 0.07}
{'loss': 0.1829, 'grad_norm': 0.36988359689712524, 'learning_rate': 0.00019998894458957115, 'epoch': 0.07}
{'loss': 0.1761, 'grad_norm': 0.2721133530139923, 'learning_rate': 0.00019998791673120304, 'epoch': 0.07}
{'loss': 0.2205, 'grad_norm': 0.22214385867118835, 'learning_rate': 0.00019998684319400093, 'epoch': 0.07}
{'loss': 0.2455, 'grad_norm': 0.46005749702453613, 'learning_rate': 0.0001999857239784552, 'epoch': 0.07}
{'loss': 0.1913, 'grad_norm': 0.29828381538391113, 'learning_rate': 0.00019998455908507717, 'epoch': 0.07}
{'loss': 0.1653, 'grad_norm': 0.38657766580581665, 'learning_rate': 0.00019998334851439902, 'epoch': 0.07}
{'loss': 0.2006, 'grad_norm': 0.48512211441993713, 'learning_rate': 0.00019998209226697376, 'epoch': 0.07}
{'loss': 0.2099, 'grad_norm': 0.523849606513977, 'learning_rate': 0.00019998079034337537, 'epoch': 0.07}
{'loss': 0.1468, 'grad_norm': 0.3320900499820709, 'learning_rate': 0.00019997944274419857, 'epoch': 0.07}
{'loss': 0.1573, 'grad_norm': 0.34935417771339417, 'learning_rate': 0.00019997804947005903, 'epoch': 0.07}
{'loss': 0.1875, 'grad_norm': 0.4911462664604187, 'learning_rate': 0.00019997661052159323, 'epoch': 0.07}
{'loss': 0.2052, 'grad_norm': 0.4121393859386444, 'learning_rate': 0.00019997512589945855, 'epoch': 0.07}
{'loss': 0.2839, 'grad_norm': 0.5387430191040039, 'learning_rate': 0.00019997359560433323, 'epoch': 0.07}
{'loss': 0.2877, 'grad_norm': 0.6296380162239075, 'learning_rate': 0.00019997201963691642, 'epoch': 0.07}
{'loss': 0.3256, 'grad_norm': 0.9975510239601135, 'learning_rate': 0.00019997039799792802, 'epoch': 0.08}
{'loss': 0.2575, 'grad_norm': 0.34836211800575256, 'learning_rate': 0.00019996873068810892, 'epoch': 0.08}
{'loss': 0.1635, 'grad_norm': 0.4273626506328583, 'learning_rate': 0.00019996701770822077, 'epoch': 0.08}
{'loss': 0.1911, 'grad_norm': 0.4123155474662781, 'learning_rate': 0.00019996525905904616, 'epoch': 0.08}
{'loss': 0.1895, 'grad_norm': 0.4620986878871918, 'learning_rate': 0.00019996345474138858, 'epoch': 0.08}
{'loss': 0.1543, 'grad_norm': 0.3858102858066559, 'learning_rate': 0.00019996160475607222, 'epoch': 0.08}
{'loss': 0.3006, 'grad_norm': 0.589672863483429, 'learning_rate': 0.00019995970910394227, 'epoch': 0.08}
{'loss': 0.2567, 'grad_norm': 0.5208017230033875, 'learning_rate': 0.00019995776778586474, 'epoch': 0.08}
{'loss': 0.2408, 'grad_norm': 0.5369142293930054, 'learning_rate': 0.00019995578080272654, 'epoch': 0.08}
{'loss': 0.1995, 'grad_norm': 0.3249284625053406, 'learning_rate': 0.0001999537481554354, 'epoch': 0.08}
{'loss': 0.1864, 'grad_norm': 0.3163045644760132, 'learning_rate': 0.0001999516698449199, 'epoch': 0.08}
{'loss': 0.2063, 'grad_norm': 0.4259423017501831, 'learning_rate': 0.0001999495458721295, 'epoch': 0.08}
{'loss': 0.1485, 'grad_norm': 0.22591723501682281, 'learning_rate': 0.00019994737623803456, 'epoch': 0.08}
{'loss': 0.1632, 'grad_norm': 0.36732015013694763, 'learning_rate': 0.00019994516094362625, 'epoch': 0.08}
{'loss': 0.1569, 'grad_norm': 0.2540418803691864, 'learning_rate': 0.00019994289998991657, 'epoch': 0.08}
{'loss': 0.1739, 'grad_norm': 0.34501779079437256, 'learning_rate': 0.0001999405933779385, 'epoch': 0.08}
{'loss': 0.152, 'grad_norm': 0.4071130156517029, 'learning_rate': 0.00019993824110874572, 'epoch': 0.08}
{'loss': 0.2315, 'grad_norm': 0.4106771945953369, 'learning_rate': 0.0001999358431834129, 'epoch': 0.08}
{'loss': 0.1512, 'grad_norm': 0.3140690326690674, 'learning_rate': 0.0001999333996030355, 'epoch': 0.08}
{'loss': 0.3463, 'grad_norm': 0.7936002612113953, 'learning_rate': 0.00019993091036872986, 'epoch': 0.08}
{'loss': 0.165, 'grad_norm': 0.3605108857154846, 'learning_rate': 0.00019992837548163316, 'epoch': 0.08}
{'loss': 0.2378, 'grad_norm': 0.29096105694770813, 'learning_rate': 0.00019992579494290346, 'epoch': 0.08}
{'loss': 0.232, 'grad_norm': 0.40652742981910706, 'learning_rate': 0.00019992316875371965, 'epoch': 0.08}
{'loss': 0.304, 'grad_norm': 0.7294410467147827, 'learning_rate': 0.0001999204969152815, 'epoch': 0.08}
{'loss': 0.2107, 'grad_norm': 0.5562651753425598, 'learning_rate': 0.00019991777942880964, 'epoch': 0.09}
{'loss': 0.2139, 'grad_norm': 0.4213554859161377, 'learning_rate': 0.00019991501629554548, 'epoch': 0.09}
{'loss': 0.1846, 'grad_norm': 0.5038086175918579, 'learning_rate': 0.00019991220751675137, 'epoch': 0.09}
{'loss': 0.2052, 'grad_norm': 0.2699453830718994, 'learning_rate': 0.00019990935309371048, 'epoch': 0.09}
{'loss': 0.1769, 'grad_norm': 0.30947405099868774, 'learning_rate': 0.00019990645302772687, 'epoch': 0.09}
{'loss': 0.2455, 'grad_norm': 0.5985856652259827, 'learning_rate': 0.00019990350732012536, 'epoch': 0.09}
{'loss': 0.2128, 'grad_norm': 0.7046347260475159, 'learning_rate': 0.00019990051597225172, 'epoch': 0.09}
{'loss': 0.115, 'grad_norm': 0.24769848585128784, 'learning_rate': 0.0001998974789854725, 'epoch': 0.09}
{'loss': 0.1667, 'grad_norm': 0.4278961718082428, 'learning_rate': 0.00019989439636117516, 'epoch': 0.09}
{'loss': 0.219, 'grad_norm': 0.430283784866333, 'learning_rate': 0.00019989126810076793, 'epoch': 0.09}
{'loss': 0.1561, 'grad_norm': 0.30921146273612976, 'learning_rate': 0.00019988809420567997, 'epoch': 0.09}
{'loss': 0.2623, 'grad_norm': 0.3974064588546753, 'learning_rate': 0.00019988487467736125, 'epoch': 0.09}
{'loss': 0.2235, 'grad_norm': 0.49469470977783203, 'learning_rate': 0.0001998816095172826, 'epoch': 0.09}
{'loss': 0.2337, 'grad_norm': 0.47262677550315857, 'learning_rate': 0.00019987829872693564, 'epoch': 0.09}
{'loss': 0.2246, 'grad_norm': 0.2829773426055908, 'learning_rate': 0.00019987494230783292, 'epoch': 0.09}
{'loss': 0.252, 'grad_norm': 0.36711063981056213, 'learning_rate': 0.0001998715402615078, 'epoch': 0.09}
